Date,Adj Close
2018-01-03,1.2983189821243286
2018-01-04,1.3215032815933228
2018-01-05,1.360143780708313
2018-01-08,1.344687581062317
2018-01-09,1.344687581062317
2018-01-10,1.344687581062317
2018-01-11,1.360143780708313
2018-01-12,1.360143780708313
2018-01-15,1.344687581062317
2018-01-16,1.3292315006256104
2018-01-17,1.275134801864624
2018-01-18,1.259678602218628
2018-01-19,1.2828630208969116
2018-01-22,1.2828630208969116
2018-01-23,1.2828630208969116
2018-01-24,1.275134801864624
2018-01-25,1.275134801864624
2018-01-26,1.2828630208969116
2018-01-29,1.2828630208969116
2018-01-30,1.2983189821243286
2018-01-31,1.2983189821243286
2018-02-01,1.2905910015106201
2018-02-02,1.2905910015106201
2018-02-05,1.2828630208969116
2018-02-06,1.2519506216049194
2018-02-07,1.2442224025726318
2018-02-08,1.2519506216049194
2018-02-09,1.2674068212509155
2018-02-12,1.259678602218628
2018-02-13,1.2905910015106201
2018-02-14,1.3060472011566162
2018-02-15,1.3060472011566162
2018-02-16,1.3060472011566162
2018-02-19,1.2905910015106201
2018-02-20,1.3060472011566162
2018-02-21,1.3215032815933228
2018-02-22,1.3137751817703247
2018-02-23,1.3137751817703247
2018-02-26,1.3292315006256104
2018-02-27,1.3060472011566162
2018-02-28,1.3060472011566162
2018-03-02,1.3060472011566162
2018-03-05,1.275134801864624
2018-03-06,1.2828630208969116
2018-03-07,1.275134801864624
2018-03-08,1.2828630208969116
2018-03-09,1.2674068212509155
2018-03-12,1.275134801864624
2018-03-13,1.275134801864624
2018-03-14,1.3215032815933228
2018-03-15,1.3292315006256104
2018-03-16,1.344687581062317
2018-03-19,1.3137751817703247
2018-03-20,1.3215032815933228
2018-03-21,1.3060472011566162
2018-03-22,1.3215032815933228
2018-03-23,1.3137751817703247
2018-03-26,1.3215032815933228
2018-03-27,1.3137751817703247
2018-03-28,1.3060472011566162
2018-03-29,1.2905910015106201
2018-03-30,1.2905910015106201
2018-04-02,1.2983189821243286
2018-04-03,1.2828630208969116
2018-04-04,1.2828630208969116
2018-04-05,1.2905910015106201
2018-04-09,1.2983189821243286
2018-04-10,1.2983189821243286
2018-04-11,1.2905910015106201
2018-04-12,1.2905910015106201
2018-04-17,1.2983189821243286
2018-04-18,1.2983189821243286
2018-04-19,1.2983189821243286
2018-04-20,1.2983189821243286
2018-04-23,1.3060472011566162
2018-04-24,1.2983189821243286
2018-04-25,1.2983189821243286
2018-04-26,1.2905910015106201
2018-04-27,1.3060472011566162
2018-04-30,1.2983189821243286
2018-05-02,1.2983189821243286
2018-05-03,1.2983189821243286
2018-05-04,1.3060472011566162
2018-05-07,1.3060472011566162
2018-05-08,1.3141593933105469
2018-05-09,1.3790560960769653
2018-05-10,1.362831711769104
2018-05-11,1.3709440231323242
2018-05-14,1.3952802419662476
